term,def,file_name,extraction_rule,plain_text_def,plain_text_term,mentioned_proofwiki_terms
$W$-graph,"\label{Wgraph-def}
Fix a Coxeter system $(W,S)$. 
An $S$-labeled graph $\Gamma = (V,\omega,\tau)$ is a \emph{$W$-graph}
if the free $\cA$-module 
%$M_\Gamma$ 
generated by $V$ may be given an $\H$-module structure with % such that for all $x \in V$ and $s \in S$ it holds that
\[  H_s    x = \begin{cases} v    x &\text{if }s \notin \tau(x) \\ -v^{-1}   x +  \ds\sum_{{y \in V ;\hs s \notin \tau(y)}} \omega(x\to y)   y&\text{if }s \in \tau(x)\end{cases}
\qquad\text{for $s \in S$ and $x \in V$.}
\]",1408.0589#1408.0589.tex,definition + \emph{},"
Fix a Coxeter system (W,S). 
An S-labeled graph Γ = (V,ω,τ) is a W-graph
if the free -module 

generated by V may be given an $̋-module structure with 

    H_s    x =  v    x    if s ∉τ(x) 
     -v^-1   x +  ∑_y ∈ V ; s ∉τ(y)ω(x→ y)   y   if s ∈τ(x)    for s ∈ S and x ∈ V.",W-graph,['Graph']
$\Delta$-domain and $\Delta$-neighborhood,"\label{Def:DeltaDomaine}
A domain $\Delta$ is a {\em $\Delta$-domain at $1$} if there exist two real numbers  $R>1$ and $\pi/2<\phi <\pi$ such that
$$
\Delta=\{z \in \mathbb{C} \mid |z|<R,\, z\neq 1,
|\Arg(1-z)|<\phi\}.
$$ 
By extension, for a complex number $\rho \neq
0$, a domain is a {\em $\Delta$-domain at $\rho$} if it the image by
the mapping $z\rightarrow \rho z$ of a $\Delta$-domain at $1$.  A
{\em $\Delta$-neighborhood} of $\rho$ is the intersection of a
neighborhood of $\rho$ and a $\Delta$-domain at $\rho$.",1706.08333#BrownianPermutationAvecDesSimples.tex,definition[],"
A domain Δ is a Δ-domain at 1 if there exist two real numbers  R>1 and π/2<ϕ <π such that

    Δ={z ∈ℂ| |z|<R,  z≠ 1,
    |(1-z)|<ϕ}.
 
By extension, for a complex number ρ≠
0, a domain is a Δ-domain at ρ if it the image by
the mapping z→ρ z of a Δ-domain at 1.  A
Δ-neighborhood of ρ is the intersection of a
neighborhood of ρ and a Δ-domain at ρ.",Δ-domain and Δ-neighborhood,['Domain']
$\Delta$-domain and $\Delta$-neighborhood,"\label{Def:DeltaDomaine}
A domain $\Delta$ is a {\em $\Delta$-domain at $1$} if there exist two real numbers  $R>1$ and $0<\phi<\tfrac{\pi}{2}$ such that
$$\Delta=\{z \in \mathbb{C} \mid |z|<R,\, z\neq 1,
|\arg(z-1)|>\phi\}.$$ By extension, for a complex number $\rho \neq
0$, a domain is a {\em $\Delta$-domain at $\rho$} if it the image by
the mapping $z\rightarrow \rho z$ of a $\Delta$-domain at $1$.  A
{\em $\Delta$-neighborhood} of $\rho$ is the intersection of a
neighborhood of $\rho$ and a $\Delta$-domain at $\rho$.",1903.07522#ClassesNonCloses.tex,definition[],"
A domain Δ is a Δ-domain at 1 if there exist two real numbers  R>1 and 0<ϕ<π2 such that

    Δ={z ∈ℂ| |z|<R,  z≠ 1,
    |(z-1)|>ϕ}.
 By extension, for a complex number ρ≠
0, a domain is a Δ-domain at ρ if it the image by
the mapping z→ρ z of a Δ-domain at 1.  A
Δ-neighborhood of ρ is the intersection of a
neighborhood of ρ and a Δ-domain at ρ.",Δ-domain and Δ-neighborhood,['Domain']
$\alpha$-content,"For a box $\Box=(x,y)$ of a Young diagram we define its \emph{$\alpha$-content} by
\begin{equation*}
 \acontent(\Box)=\acontent(x,y):= A x - \frac{1}{A} y\in \Laurent. 
\end{equation*}",1603.04268#section-approximate-factorization.tex,definition + \emph{},"For a box =(x,y) of a Young diagram we define its α-content by

    ()=(x,y):= A x - 1/A y∈.
",α-content,['Content']
$\alpha$-content,"For a box $\Box=(x,y)$ of a Young diagram we define its \emph{$\alpha$-content} by
\begin{equation}
\label{eq:alpha-content}
 \acontent(\Box)=\acontent(x,y):= A x - \frac{1}{A} y\in \Laurent. 
\end{equation}",1506.06361#section-prologue.tex,definition + \emph{},"For a box =(x,y) of a Young diagram we define its α-content by

    ()=(x,y):= A x - 1/A y∈.
",α-content,['Content']
$\e$-regular partition,"\label{def:e-reg-partition}
	A partition $\P$ of a $k$-graph $H$ is \emph{$\e$-regular} if
	$\sum_P |\K(P)| \le \e|V(H)|^k$ where the sum is over all $k$-polyads $P$ of $\P$ for which
	$H \cap \K(P)$ is not $\e$-regular in $P$.	
	%	all but at most $\e|V(H)|^k$ $k$-edges are underlied by $k$-polyads $P$ of $\P$ for which $H \cap \K(P)$ is $\e$-regular in $P$.	
	%the induced $k$-graph $H \cap \K(P)$ is $\e$-regular.	
	%every $S \sub P$ with $|\K(S)| \ge \e|\K(P)|$ has $d_{H}(S) = d_{H}(P) \pm \e$.",1907.07639#1907.07639.tex,definition[],"
	A partition  of a k-graph H is -regular if
	∑_P |(P)| ≤|V(H)|^k where the sum is over all k-polyads P of  for which
	H ∩(P) is not -regular in P.	
	
	
	",-regular partition,['Regular']
$\e$-regular partition,"\label{def:e-reg-partition}
	A partition $\P$ of a $k$-graph $H$ is \emph{$\e$-regular} if 
	$\sum_P |\K(P)| \le \e|V(H)|^k$ where the sum is over all $k$-polyads $P$ of $\P$ for which
	$H \cap \K(P)$ is not $\e$-regular in $P$.	
	%	all but at most $\e|V(H)|^k$ $k$-edges are underlied by $k$-polyads $P$ of $\P$ for which $H \cap \K(P)$ is $\e$-regular in $P$.	
	%the induced $k$-graph $H \cap \K(P)$ is $\e$-regular.	
	%every $S \sub P$ with $|\K(S)| \ge \e|\K(P)|$ has $d_{H}(S) = d_{H}(P) \pm \e$.",1804.05513#1804.05513.tex,definition[],"
	A partition  of a k-graph H is -regular if 
	∑_P |(P)| ≤|V(H)|^k where the sum is over all k-polyads P of  for which
	H ∩(P) is not -regular in P.	
	
	
	",-regular partition,['Regular']
$\epsilon$-regular,"Let $Y$ be a $n \times n$ square matrix. Let $I, J
  \subseteq [n]$ be intervals. We say that $(I, J)$ is \emph{interval
    $\epsilon$-regular} for $Y$ if for all subintervals $A \subseteq I$
  and $B \subseteq J$ with $|A| \geq \epsilon |I|$ and $|B| \ge \epsilon
  |J|$ one has
  \[
  |d_Y(A, B) - d_Y(I, J)| \le \epsilon.
  \]
  Let $\cP$ be a partition of $[n]$ into $k$ intervals. We say that
  $\cP$ is interval \emph{$\epsilon$-regular} for $Y$ if all except at most
  $\epsilon k^2$ pairs of intervals $(I, J)$ of $\cP$ are
  interval $\epsilon$-regular for $Y$.",1604.00733#algapplreglemma.tex,definition + \emph{},"Let Y be a n × n square matrix. Let I, J
  ⊆ [n] be intervals. We say that (I, J) is interval
    ϵ-regular for Y if for all subintervals A ⊆ I
  and B ⊆ J with |A| ≥ϵ |I| and |B| ≥ϵ
  |J| one has
  
    |d_Y(A, B) - d_Y(I, J)| ≤ϵ.

  Let  be a partition of [n] into k intervals. We say that
   is interval ϵ-regular for Y if all except at most
  ϵ k^2 pairs of intervals (I, J) of  are
  interval ϵ-regular for Y.",ϵ-regular,['Regular']
$\epsilon$-regular,"\label{epsilonregular}

A directed $r$-uniform hypergraph $H$ on X is \emph{$\epsilon$-regular} if for any cylindric intersection set L in $X^{[r]}$ with $\mu(L) \geq \epsilon$, $ | \mu(H \cap L) - \mu(H)\mu(L) | < \epsilon$.",1412.8084#Limits_Finite_Structures_Aroskar_Cummings.tex,definition + \emph{},"

A directed r-uniform hypergraph H on X is ϵ-regular if for any cylindric intersection set L in X^[r] with μ(L) ≥ϵ, | μ(H ∩ L) - μ(H)μ(L) | < ϵ.",ϵ-regular,['Regular']
$\epsilon$-regular,"Let $\epsilon > 0$.  Given a graph $G$ and two nonempty disjoint vertex sets $A, B \subset V$, we say that the pair $(A, B)$ is \emph{$\epsilon$-regular} if for every $X \subset A$ and $Y \subset B$ satisfying
\begin{equation*}
|X| > \epsilon |A| ~ ~ ~ \text{and} ~ ~ ~ |Y| > \epsilon |B|
\end{equation*}
we have
\begin{equation*}
|d(X, Y) - d(A, B)| < \epsilon.
\end{equation*}",1408.0408#E-O.tex,definition + \emph{},"Let ϵ > 0.  Given a graph G and two nonempty disjoint vertex sets A, B ⊂ V, we say that the pair (A, B) is ϵ-regular if for every X ⊂ A and Y ⊂ B satisfying

    |X| > ϵ |A|    and    |Y| > ϵ |B|

we have

    |d(X, Y) - d(A, B)| < ϵ.
",ϵ-regular,['Regular']
$\sat \kappa$;$\kappa$-connected,"Let $\gr$ be a graph, $\kappa$ a cardinal and let $A\subs V$.
We say that $A$ is \emph{$\sat \kappa$} iff there are $\kappa$ many
disjoint finite paths between any two points of $A$. We say that $A$ is
\emph{$\kappa$-connected} iff there are $\kappa$ many disjoint finite
paths inside $A$ between any two points of $A$.",1502.04955#1502.04955.tex,definition + \emph{},"Let  be a graph, κ a cardinal and let A V.
We say that A is κ iff there are κ many
disjoint finite paths between any two points of A. We say that A is
κ-connected iff there are κ many disjoint finite
paths inside A between any two points of A.",κ;κ-connected,['Connected']
$\sat \kappa$;$\kappa$-connected,"Let $\gr$ be a graph, $\kappa$ a cardinal and let $A\subseteq V$. We say that $A$ is \emph{$\sat \kappa$} iff for any $v\neq w\in A$ there are $\kappa$-many finite paths from $v$ to $w$ in $G$ which only intersect in $v$ and $w$. We say that $A$ is \emph{$\kappa$-connected} iff $A$ is $\sat \kappa$ in the graph induced by $A$.",1507.06187#monopath2_final.tex,definition + \emph{},"Let  be a graph, κ a cardinal and let A⊆ V. We say that A is κ iff for any v≠ w∈ A there are κ-many finite paths from v to w in G which only intersect in v and w. We say that A is κ-connected iff A is κ in the graph induced by A.",κ;κ-connected,['Connected']
$\varepsilon$-regular,"An edge-ordered complete graph $G$ on $N$ vertices is \emph{$\varepsilon$-regular} if, for all intervals $I\subset\binom{N}{2}$ of length at least $\varepsilon\binom{N}{2}$, and all subsets $X$ and $Y$ of size at least $\varepsilon N$, the pair $(X,Y)$ is $(\alpha_I, \varepsilon)$-regular in the graph $G_I$.",1906.08234#1906.08234.tex,definition + \emph{},"An edge-ordered complete graph G on N vertices is ε-regular if, for all intervals I⊂N2 of length at least εN2, and all subsets X and Y of size at least ε N, the pair (X,Y) is (α_I, ε)-regular in the graph G_I.",ε-regular,['Regular']
$\varepsilon$-regular,"[$\varepsilon$-regularity]
%Let $\varepsilon>0$ be fixed. Given a graph $G=(V,E),$ and two disjoint non-empty sets of vertices $A,B\subset V$, we say the pair $(A,B)$ is \emph{$\varepsilon$-regular} if, for every $X\subseteq A$ with $|X|\geq \varepsilon A$ and every $Y\geq \varepsilon |B|$, we have 
%$$|d(X,Y)-d(A,B)|\leq \varepsilon.$$
%",1902.07618#1902.07618.tex,definition + \emph{},"[ε-regularity]


",ε-regular,['Regular']
$d$-minimal segment,"[minimal edge]
\label{def:minimal_edge}

A line segment $E$ with endpoints in $\mathcal{L}_d$ is said to be a \emph{$d$-minimal segment} if $E \cap \mathcal{L}_d$ consists precisely of the endpoints of $E$.",1412.0196#discrete_equi_of_polygons.tex,definition + \emph{},"[minimal edge]


A line segment E with endpoints in ℒ_d is said to be a d-minimal segment if E ∩ℒ_d consists precisely of the endpoints of E.",d-minimal segment,['Segment']
$d$-minimal segment,"[minimal edge]
\label{def:minimal_edge}

Let $\mathcal{L}_d = \frac{1}{d} \mathbb{Z} \times \frac{1}{d} \mathbb{Z}$. A line segment $E$ with endpoints in $\mathcal{L}_d$ is said to be a \emph{$d$-minimal segment} if $E \cap \mathcal{L}_d$ consists precisely of the endpoints of $E$.",1412.0191#report_sept17.tex,definition + \emph{},"[minimal edge]


Let ℒ_d = 1/dℤ×1/dℤ. A line segment E with endpoints in ℒ_d is said to be a d-minimal segment if E ∩ℒ_d consists precisely of the endpoints of E.",d-minimal segment,['Segment']
$i$-package of $w$,"Let $(V,\sigma,E)$ be a signed, colored graph of type $(n,N)$ satisfying axioms $1,2$ and $5$. For a vertex $w$, the \emph{$i$-package of $w$} is the connected component of $E_2 \cup\cdots\cup E_{\imh} \cup E_{\iph} \cup\cdots\cup E_{\nmo}$ containing $w$.
  \label{defn:package}",1704.07039#part2.tex,definition + \emph{},"Let (V,σ,E) be a signed, colored graph of type (n,N) satisfying axioms 1,2 and 5. For a vertex w, the i-package of w is the connected component of E_2 ∪⋯∪ E_∪ E_∪⋯∪ E_ containing w.
  ",i-package of w,['Age']
$i$-package of $w$,"Let $(V,\sigma,E)$ be a signed, colored graph of type $(n,N)$
  satisfying axioms $1,2$ and $5$. For $w$ a vertex of $V$, the
  \emph{$i$-package of $w$} is the connected component containing $w$
  of
  \begin{displaymath}
    \left( V, (\sigma_1, \ldots, \sigma_{\imh}, \sigma_{\ipt}, \ldots,
      \sigma_{N-1}), E_2 \cup\cdots\cup E_{\imh} \cup E_{\iph}
      \cup\cdots\cup E_{\nmo} \right)
    \vspace{-\baselineskip}
  \end{displaymath}
  \label{defn:package}",1005.3759#positivity.tex,definition + \emph{},"Let (V,σ,E) be a signed, colored graph of type (n,N)
  satisfying axioms 1,2 and 5. For w a vertex of V, the
  i-package of w is the connected component containing w
  of
  
    ( V, (σ_1, …, σ_, σ_, …,
      σ_N-1), E_2 ∪⋯∪E_ ∪E_
      ∪⋯∪E_ )
    

  
  ",i-package of w,['Age']
$k$-Outerplanar Graph,"Let $G = (V, E)$ be a graph. $G$ is called a \emph{planar
	graph} , if there exists a planar embedding of $G$. \par
	An embedding of a graph $G$ is \emph{$1$-outerplanar} , if it is
	planar, and all vertices lie on the exterior face. For $k \ge 2$, an embedding
	of a graph $G$ is \emph{$k$-outerplanar} , if it is planar, and when
	all vertices on the outer face are deleted, then one obtains a
	$(k-1)$-outerplanar embedding of the resulting graph. If $G$ admits a
	$k$-outerplanar embedding, then it is called a \emph{$k$-outerplanar graph} .",1503.01604#document.tex,definition[],"Let G = (V, E) be a graph. G is called a planar
	graph , if there exists a planar embedding of G. An embedding of a graph G is 1-outerplanar , if it is
	planar, and all vertices lie on the exterior face. For k ≥ 2, an embedding
	of a graph G is k-outerplanar , if it is planar, and when
	all vertices on the outer face are deleted, then one obtains a
	(k-1)-outerplanar embedding of the resulting graph. If G admits a
	k-outerplanar embedding, then it is called a k-outerplanar graph .",k-Outerplanar Graph,['Graph']
$k$-Outerplanar Graph,"\label{defKOPG}
	Let $G = (V, E)$ be a graph. $G$ is called a \emph{planar
	graph} , if there exists a planar embedding of $G$.
	An embedding of a graph $G$ is \emph{$1$-outerplanar} , if it is
	planar, and all vertices lie on the exterior face. For $k \ge 2$, an embedding
	of a graph $G$ is \emph{$k$-outerplanar} , if it is planar, and when
	all vertices on the outer face are deleted, then one obtains a
	$(k-1)$-outerplanar embedding of the resulting graph. If $G$ admits a
	$k$-outerplanar embedding, then it is called a \emph{$k$-outerplanar graph} .",1509.08315#document.tex,definition[],"
	Let G = (V, E) be a graph. G is called a planar
	graph , if there exists a planar embedding of G.
	An embedding of a graph G is 1-outerplanar , if it is
	planar, and all vertices lie on the exterior face. For k ≥ 2, an embedding
	of a graph G is k-outerplanar , if it is planar, and when
	all vertices on the outer face are deleted, then one obtains a
	(k-1)-outerplanar embedding of the resulting graph. If G admits a
	k-outerplanar embedding, then it is called a k-outerplanar graph .",k-Outerplanar Graph,['Graph']
$k$-colouring property of $\Graphseq$;extremal entropy;relative to $\Graphseq$,"[Extremal entropy relative to a graph sequence]\label{definition: extremal entropy/relative to G}
%	Let $\Graphseq=(G_n)_{n \in \N}$ be a sequence of graphs. A \emph{$k$-colouring property of $\Graphseq$} is a sequence $\mathcal{P}=(\mathcal{P}_n)_{n\in \N}$, where $\mathcal{P}_n$ is a collection of $k$-colourings of $G_n$. The \emph{extremal entropy} of $\mathcal{P}$ \emph{relative to $\Graphseq$} is
%	\[\ex(\Graphseq, \mathcal{P})_n=\ex(G_n, \mathcal{P}_n):=\max\left\{\Ent(t) \,: \, t\in \left(2^{[k]}\setminus\{\emptyset\} \right)^{G_n}, \ \langle t \rangle\subseteq \mathcal{P}_n\right\}.\]
%",1801.05195#containerpaperarxivupdate.tex,definition + \emph{},"[Extremal entropy relative to a graph sequence]


",k-colouring property of ;extremal entropy;relative to ,"['Proper', 'Entropy']"
